Run Name,Spring 2018 Group 1 Run 4
Run Date,04:37:28 PM   01-22-18
Method Name,Spring 2018 Group 1 Multigradient.1
Export Format Version, 1.00
Method ID, 3636
Points/Second, 5.00
Number of Records,   7560
Offset from Run Start Time,00:00:00
Run End Time,00:25:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000735,0.001050, 20,0.001283,0.000491,   1.473,  156,     0.0
     0.2,0.000982,0.001050, 20,0.001274,0.000491,   1.472,  156,     0.0
     0.4,0.000425,0.001044, 20,0.001280,0.000479,   1.474,  156,     0.0
     0.6,-0.001282,0.001050, 20,0.001282,0.000500,   1.466,  156,     0.0
     0.8,0.000000,0.001050, 20,0.001277,0.000500,   1.472,  157,     0.0
     1.0,0.000000,0.001041, 20,0.001277,0.000500,   1.469,  156,     0.0
     1.2,0.000000,0.000000, 20,0.001282,0.000500,   1.470,  155,     0.0
     1.4,0.000000,0.000000, 20,0.001292,0.000500,   1.469,  157,     0.0
     1.6,0.000000,0.000000, 20,0.001277,0.000512,   1.467,  158,     0.0
     1.8,0.000000,0.000000, 20,0.001269,0.000491,   1.467,  157,     0.0
     2.0,0.000000,0.000000, 20,0.001261,0.000491,   1.466,  155,     0.0
     2.2,0.000000,0.000000, 20,0.001273,0.000502,   1.465,  154,     0.0
     2.4,0.000000,0.000000, 20,-0.002621,0.000502,   1.463,  153,     0.0
     2.6,0.000000,0.000000, 20,-0.002621,0.000000,   1.465,  155,     0.0
     2.8,0.000000,0.000000, 20,-0.002621,0.000000,   1.461,  158,     0.0
     3.0,0.000000,0.000000, 20,-0.002621,0.000000,   1.463,  157,     0.1
     3.2,0.000000,0.000000, 20,0.000000,0.000000,   1.462,  156,     0.1
     3.4,0.000000,0.000000, 20,0.000000,0.000000,   1.459,  154,     0.1
     3.6,0.000000,0.000000, 20,0.000000,0.000000,   1.459,  152,     0.1
     3.8,0.000000,0.000000, 20,0.000000,0.000000,   1.461,  153,     0.1
     4.0,0.000000,0.000000, 20,0.000000,0.000000,   1.459,  154,     0.1
     4.2,0.000000,0.000000, 20,0.000000,0.000000,   1.458,  154,     0.1
     4.4,0.000038,0.000000, 20,0.000000,0.000000,   1.458,  154,     0.1
     4.6,0.000072,0.000000, 20,0.000000,0.000000,   1.459,  154,     0.1
     4.8,0.000087,0.000000, 20,0.000000,0.000000,   1.462,  153,     0.1
     5.0,0.000105,0.000000, 20,0.000000,0.000000,   1.458,  153,     0.1
     5.2,0.000120,0.000000, 20,0.000000,0.000000,   1.457,  153,     0.1
     5.4,0.000137,0.000000, 20,0.000000,0.000000,   1.457,  156,     0.1
     5.6,0.000153,0.000000, 20,0.000000,0.000000,   1.458,  159,     0.1
     5.8,0.000162,0.000070, 20,0.000000,0.000000,   1.459,  156,     0.1
     6.0,0.000169,0.000082, 20,0.000000,0.000000,   1.458,  153,     0.1
     6.2,0.000184,0.000094, 20,0.000000,0.000000,   1.457,  153,     0.1
     6.4,0.000194,0.000118, 20,0.000000,0.000000,   1.456,  152,     0.1
     6.6,0.000206,0.000133, 20,0.000000,0.000000,   1.455,  154,     0.1
     6.8,0.000222,0.000148, 20,0.000000,0.000000,   1.455,  155,     0.1
     7.0,0.000235,0.000161, 20,0.000057,0.000043,   1.456,  154,     0.1
     7.2,0.000247,0.000174, 20,0.000086,0.000044,   1.453,  152,     0.1
     7.4,0.000254,0.000181, 20,0.000106,0.000067,   1.455,  152,     0.1
     7.6,0.000257,0.000189, 20,0.000125,0.000078,   1.454,  152,     0.1
     7.8,0.000260,0.000203, 20,0.000150,0.000101,   1.453,  153,     0.1
     8.0,0.000263,0.000212, 20,0.000175,0.000058,   1.451,  153,     0.1
     8.2,0.000269,0.000228, 20,0.000186,0.000070,   1.453,  155,     0.1
     8.4,0.000272,0.000246, 20,0.000200,0.000092,   1.452,  156,     0.1
     8.6,0.000279,0.000251, 20,0.000224,0.000071,   1.452,  154,     0.1
     8.8,0.000282,0.000253, 20,0.000252,0.000104,   1.451,  153,     0.1
     9.0,0.000279,0.000258, 20,0.000276,0.000115,   1.449,  153,     0.2
     9.2,0.000279,0.000263, 20,0.000291,0.000082,   1.450,  152,     0.2
     9.4,0.000279,0.000269, 20,0.000306,0.000126,   1.448,  151,     0.2
     9.6,0.000282,0.000277, 20,0.000315,0.000126,   1.449,  149,     0.2
     9.8,0.000279,0.000282, 20,0.000328,0.000094,   1.447,  152,     0.2
    10.0,0.000278,0.000279, 20,0.000322,0.000126,   1.449,  154,     0.2
    10.2,0.000288,0.000284, 20,0.000312,0.000138,   1.446,  152,     0.2
    10.4,0.000291,0.000289, 20,0.000314,0.000116,   1.448,  150,     0.2
    10.6,0.000294,0.000289, 20,0.000312,0.000149,   1.446,  151,     0.2
    10.8,0.000301,0.000297, 20,0.000307,0.000160,   1.443,  152,     0.2
    11.0,0.000301,0.000302, 20,0.000312,0.000139,   1.449,  152,     0.2
    11.2,0.000304,0.000302, 20,0.000306,0.000160,   1.449,  153,     0.2
    11.4,0.000307,0.000308, 20,0.000311,0.000160,   1.446,  153,     0.2
    11.6,0.000307,0.000316, 20,0.000315,0.000139,   1.449,  153,     0.2
    11.8,0.000321,0.000319, 20,0.000311,0.000172,   1.447,  152,     0.2
    12.0,0.000327,0.000319, 20,0.000311,0.000172,   1.446,  152,     0.2
    12.2,0.000333,0.000327, 20,0.000315,0.000139,   1.444,  154,     0.2
    12.4,0.000347,0.000332, 20,0.000321,0.000160,   1.445,  157,     0.2
    12.6,0.000353,0.000334, 20,0.000315,0.000160,   1.445,  154,     0.2
    12.8,0.000349,0.000337, 20,0.000320,0.000128,   1.447,  152,     0.2
    13.0,0.000348,0.000340, 20,0.000325,0.000149,   1.446,  152,     0.2
    13.2,0.000351,0.000340, 20,0.000321,0.000116,   1.443,  152,     0.2
    13.4,0.000354,0.000347, 20,0.000318,0.000139,   1.442,  156,     0.2
    13.6,0.000360,0.000355, 20,0.000316,0.000139,   1.445,  159,     0.2
    13.8,0.000360,0.000360, 20,0.000320,0.000118,   1.441,  156,     0.2
    14.0,0.000368,0.000362, 20,0.000318,0.000129,   1.442,  154,     0.2
    14.2,0.000378,0.000370, 20,0.000325,0.000129,   1.441,  152,     0.2
    14.4,0.000382,0.000378, 20,0.000334,0.000129,   1.444,  151,     0.2
    14.6,0.000377,0.000377, 20,0.000335,0.000108,   1.442,  152,     0.2
    14.8,0.000384,0.000382, 20,0.000336,0.000141,   1.444,  153,     0.2
    15.0,0.000387,0.000391, 20,0.000342,0.000129,   1.441,  152,     0.3
    15.2,0.000390,0.000396, 20,0.000327,0.000108,   1.443,  151,     0.3
    15.4,0.000389,0.000401, 20,0.000337,0.000108,   1.440,  152,     0.3
    15.6,0.000395,0.000404, 20,0.000337,0.000129,   1.437,  152,     0.3
    15.8,0.000398,0.000403, 20,0.000332,0.000129,   1.437,  151,     0.3
    16.0,0.000397,0.000408, 20,0.000327,0.000129,   1.440,  150,     0.3
    16.2,0.000400,0.000405, 20,0.000327,0.000172,   1.440,  152,     0.3
    16.4,0.000408,0.000405, 20,0.000321,0.000183,   1.439,  154,     0.3
    16.6,0.000414,0.000405, 20,0.000321,0.000151,   1.437,  152,     0.3
    16.8,0.000413,0.000407, 20,0.000330,0.000183,   1.437,  150,     0.3
    17.0,0.000416,0.000418, 20,0.000314,0.000194,   1.438,  152,     0.3
    17.2,0.000422,0.000421, 20,0.000323,0.000151,   1.436,  154,     0.3
    17.4,0.000418,0.000426, 20,0.000322,0.000183,   1.436,  153,     0.3
    17.6,0.000429,0.000430, 20,0.000311,0.000194,   1.434,  152,     0.3
    17.8,0.000432,0.000429, 20,0.000318,0.000162,   1.436,  151,     0.3
    18.0,0.000427,0.000431, 20,0.000319,0.000206,   1.433,  151,     0.3
    18.2,0.000438,0.000427, 20,0.000326,0.000196,   1.437,  150,     0.3
    18.4,0.000438,0.000427, 20,0.000317,0.000196,   1.435,  150,     0.3
    18.6,0.000434,0.000438, 20,0.000319,0.000207,   1.436,  151,     0.3
    18.8,0.000437,0.000438, 20,0.000319,0.000175,   1.434,  151,     0.3
    19.0,0.000447,0.000440, 20,0.000320,0.000207,   1.438,  152,     0.3
    19.2,0.000451,0.000446, 20,0.000316,0.000196,   1.429,  153,     0.3
    19.4,0.000440,0.000455, 20,0.000321,0.000185,   1.433,  153,     0.3
    19.6,0.000444,0.000463, 20,0.000320,0.000185,   1.434,  153,     0.3
    19.8,0.000447,0.000463, 20,0.000319,0.000217,   1.432,  151,     0.3
    20.0,0.000437,0.000469, 20,0.000326,0.000229,   1.431,  150,     0.3
    20.2,0.000444,0.000477, 20,0.000334,0.000196,   1.431,  149,     0.3
    20.4,0.000451,0.000477, 20,0.000328,0.000229,   1.430,  149,     0.3
    20.6,0.000446,0.000474, 20,0.000319,0.000229,   1.428,  151,     0.3
    20.8,0.000457,0.000471, 20,0.000323,0.000196,   1.432,  152,     0.3
    21.0,0.000460,0.000476, 20,0.000326,0.000229,   1.431,  151,     0.3
    21.2,0.000456,0.000479, 20,0.000324,0.000229,   1.430,  150,     0.4
    21.4,0.000457,0.000478, 20,0.000323,0.000196,   1.429,  151,     0.4
    21.6,0.000457,0.000481, 20,0.000335,0.000229,   1.432,  153,     0.4
    21.8,0.000456,0.000486, 20,0.000348,0.000240,   1.431,  153,     0.4
    22.0,0.000463,0.000492, 20,0.000342,0.000207,   1.429,  153,     0.4
    22.2,0.000466,0.000486, 20,0.000335,0.000240,   1.431,  152,     0.4
    22.4,0.000462,0.000483, 20,0.000324,0.000251,   1.426,  151,     0.4
    22.6,0.000469,0.000485, 20,0.000325,0.000230,   1.430,  152,     0.4
    22.8,0.000473,0.000490, 20,0.000326,0.000251,   1.426,  153,     0.4
    23.0,0.000468,0.000490, 20,0.000319,0.000251,   1.427,  153,     0.4
    23.2,0.000476,0.000490, 20,0.000326,0.000251,   1.424,  153,     0.4
    23.4,0.000479,0.000490, 20,0.000326,0.000207,   1.423,  152,     0.4
    23.6,0.000471,0.000494, 20,0.000325,0.000229,   1.428,  151,     0.4
    23.8,0.000479,0.000496, 20,0.000325,0.000217,   1.427,  151,     0.4
    24.0,0.000479,0.000496, 20,0.000326,0.000217,   1.423,  152,     0.4
    24.2,0.000471,0.000501, 20,0.000328,0.000217,   1.422,  154,     0.4
    24.4,0.000479,0.000503, 20,0.000320,0.000229,   1.423,  157,     0.4
    24.6,0.000479,0.000506, 20,0.000328,0.000185,   1.421,  155,     0.4
    24.8,0.000471,0.000506, 20,0.000321,0.000206,   1.421,  154,     0.4
    25.0,0.000479,0.000501, 20,0.000313,0.000217,   1.422,  152,     0.4
    25.2,0.000482,0.000506, 20,0.000319,0.000185,   1.421,  150,     0.4
    25.4,0.000478,0.000509, 20,0.000320,0.000229,   1.419,  151,     0.4
    25.6,0.000485,0.000514, 20,0.000310,0.000229,   1.422,  151,     0.4
    25.8,0.000488,0.000514, 20,0.000304,0.000196,   1.423,  152,     0.4
    26.0,0.000484,0.000514, 20,0.000312,0.000229,   1.421,  152,     0.4
    26.2,0.000488,0.000507, 20,0.000301,0.000240,   1.418,  151,     0.4
    26.4,0.000488,0.000504, 20,0.000311,0.000207,   1.422,  151,     0.4
    26.6,0.000488,0.000501, 20,0.000301,0.000240,   1.420,  151,     0.4
    26.8,0.000488,0.000494, 20,0.000305,0.000240,   1.419,  151,     0.4
    27.0,0.000496,0.000500, 20,0.000301,0.000207,   1.421,  152,     0.4
    27.2,0.000488,0.000505, 20,0.000307,0.000217,   1.418,  154,     0.5
    27.4,0.000496,0.000513, 20,0.000307,0.000196,   1.416,  152,     0.5
    27.6,0.000496,0.000516, 20,0.000311,0.000186,   1.419,  150,     0.5
    27.8,0.000496,0.000507, 20,0.000301,0.000209,   1.416,  151,     0.5
    28.0,0.000493,0.000511, 20,0.000297,0.000187,   1.417,  152,     0.5
    28.2,0.000489,0.000511, 20,0.000297,0.000220,   1.418,  151,     0.5
    28.4,0.000486,0.000508, 20,0.000303,0.000219,   1.416,  150,     0.5
    28.6,0.000486,0.000511, 20,0.000288,0.000207,   1.415,  150,     0.5
    28.8,0.000486,0.000511, 20,0.000298,0.000240,   1.419,  151,     0.5
    29.0,0.000491,0.000514, 20,0.000309,0.000250,   1.417,  150,     0.5
    29.2,0.000491,0.000518, 20,0.000304,0.000250,   1.417,  149,     0.5
    29.4,0.000491,0.000518, 20,0.000309,0.000250,   1.416,  150,     0.5
    29.6,0.000501,0.000518, 20,0.000310,0.000261,   1.412,  152,     0.5
    29.8,0.000501,0.000518, 20,0.000304,0.000273,   1.414,  152,     0.5
    30.0,0.000494,0.000521, 20,0.000309,0.000251,   1.417,  152,     0.5
    30.2,0.000497,0.000521, 20,0.000307,0.000251,   1.418,  152,     0.5
    30.4,0.000497,0.000524, 20,0.000311,0.000263,   1.413,  151,     0.5
    30.6,0.000497,0.000524, 20,0.000321,0.000253,   1.412,  150,     0.5
    30.8,0.000500,0.000524, 20,0.000311,0.000274,   1.407,  149,     0.5
    31.0,0.000503,0.000524, 20,0.000311,0.000274,   1.414,  150,     0.5
    31.2,0.000503,0.000523, 20,0.000316,0.000241,   1.415,  151,     0.5
    31.4,0.000506,0.000526, 20,0.000307,0.000251,   1.414,  151,     0.5
    31.6,0.000506,0.000526, 20,0.000296,0.000251,   1.413,  151,     0.5
    31.8,0.000509,0.000523, 20,0.000305,0.000240,   1.415,  151,     0.5
    32.0,0.000505,0.000525, 20,0.000307,0.000196,   1.411,  151,     0.5
    32.2,0.000505,0.000523, 20,0.000302,0.000217,   1.408,  153,     0.5
    32.4,0.000505,0.000517, 20,0.000301,0.000229,   1.410,  154,     0.5
    32.6,0.000501,0.000517, 20,0.000302,0.000229,   1.411,  153,     0.5
    32.8,0.000501,0.000523, 20,0.000308,0.000240,   1.413,  153,     0.5
    33.0,0.000508,0.000525, 20,0.000299,0.000251,   1.414,  151,     0.6
    33.2,0.000515,0.000522, 20,0.000305,0.000230,   1.409,  150,     0.6
    33.4,0.000515,0.000527, 20,0.000301,0.000263,   1.409,  153,     0.6
    33.6,0.000518,0.000524, 20,0.000306,0.000263,   1.410,  155,     0.6
    33.8,0.000521,0.000527, 20,0.000305,0.000230,   1.413,  153,     0.6
    34.0,0.000513,0.000521, 20,0.000303,0.000263,   1.411,  151,     0.6
    34.2,0.000510,0.000527, 20,0.000293,0.000263,   1.407,  150,     0.6
    34.4,0.000507,0.000529, 20,0.000292,0.000219,   1.405,  150,     0.6
    34.6,0.000500,0.000527, 20,0.000302,0.000240,   1.405,  150,     0.6
    34.8,0.000507,0.000521, 20,0.000293,0.000229,   1.405,  150,     0.6
    35.0,0.000504,0.000527, 20,0.000299,0.000196,   1.408,  153,     0.6
    35.2,0.000497,0.000529, 20,0.000301,0.000229,   1.405,  155,     0.6
    35.4,0.000507,0.000532, 20,0.000301,0.000217,   1.403,  153,     0.6
    35.6,0.000507,0.000534, 20,0.000292,0.000206,   1.403,  151,     0.6
    35.8,0.000503,0.000537, 20,0.000288,0.000227,   1.405,  151,     0.6
    36.0,0.000510,0.000532, 20,0.000282,0.000238,   1.402,  151,     0.6
    36.2,0.000513,0.000532, 20,0.000292,0.000250,   1.402,  149,     0.6
    36.4,0.000506,0.000539, 20,0.000291,0.000250,   1.404,  148,     0.6
    36.6,0.000513,0.000537, 20,0.000291,0.000261,   1.403,  150,     0.6
    36.8,0.000521,0.000537, 20,0.000286,0.000261,   1.402,  153,     0.6
    37.0,0.000521,0.000545, 20,0.000282,0.000261,   1.401,  151,     0.6
    37.2,0.000527,0.000541, 20,0.000286,0.000273,   1.406,  149,     0.6
    37.4,0.000527,0.000544, 20,0.000280,0.000251,   1.398,  149,     0.6
    37.6,0.000538,0.000544, 20,0.000278,0.000251,   1.402,  149,     0.6
    37.8,0.000544,0.000550, 20,0.000263,0.000251,   1.403,  150,     0.6
    38.0,0.000547,0.000547, 20,0.000273,0.000219,   1.401,  151,     0.6
    38.2,0.000558,0.000549, 20,0.000279,0.000229,   1.400,  152,     0.6
    38.4,0.000558,0.000552, 20,0.000275,0.000217,   1.403,  153,     0.6
    38.6,0.000550,0.000554, 20,0.000282,0.000185,   1.398,  152,     0.6
    38.8,0.000553,0.000553, 20,0.000284,0.000229,   1.399,  150,     0.6
    39.0,0.000553,0.000558, 20,0.000283,0.000240,   1.400,  150,     0.6
    39.2,0.000553,0.000555, 20,0.000292,0.000219,   1.402,  150,     0.7
    39.4,0.000549,0.000552, 20,0.000290,0.000263,   1.395,  150,     0.7
    39.6,0.000552,0.000563, 20,0.000285,0.000274,   1.400,  150,     0.7
    39.8,0.000552,0.000566, 20,0.000286,0.000253,   1.400,  150,     0.7
    40.0,0.000548,0.000560, 20,0.000289,0.000274,   1.397,  150,     0.7
    40.2,0.000544,0.000563, 20,0.000286,0.000274,   1.398,  151,     0.7
    40.4,0.000554,0.000569, 20,0.000297,0.000241,   1.398,  153,     0.7
    40.6,0.000558,0.000569, 20,0.000294,0.000251,   1.396,  152,     0.7
    40.8,0.000550,0.000570, 20,0.000284,0.000251,   1.397,  152,     0.7
    41.0,0.000550,0.000572, 20,0.000283,0.000263,   1.395,  151,     0.7
    41.2,0.000553,0.000572, 20,0.000282,0.000230,   1.396,  151,     0.7
    41.4,0.000550,0.000571, 20,0.000286,0.000274,   1.397,  150,     0.7
    41.6,0.000550,0.000571, 20,0.000275,0.000285,   1.397,  149,     0.7
    41.8,0.000553,0.000569, 20,0.000275,0.000274,   1.392,  150,     0.7
    42.0,0.000553,0.000578, 20,0.000284,0.000285,   1.398,  151,     0.7
    42.2,0.000553,0.000575, 20,0.000274,0.000297,   1.393,  150,     0.7
    42.4,0.000556,0.000577, 20,0.000280,0.000253,   1.395,  150,     0.7
    42.6,0.000553,0.000576, 20,0.000280,0.000285,   1.397,  150,     0.7
    42.8,0.000558,0.000573, 20,0.000279,0.000297,   1.391,  150,     0.7
    43.0,0.000558,0.000573, 20,0.000272,0.000253,   1.395,  151,     0.7
    43.2,0.000547,0.000573, 20,0.000280,0.000285,   1.398,  152,     0.7
    43.4,0.000548,0.000578, 20,0.000284,0.000285,   1.394,  151,     0.7
    43.6,0.000548,0.000581, 20,0.000269,0.000241,   1.393,  150,     0.7
    43.8,0.000548,0.000578, 20,0.000275,0.000263,   1.394,  150,     0.7
    44.0,0.000552,0.000573, 20,0.000276,0.000263,   1.393,  150,     0.7
    44.2,0.000563,0.000573, 20,0.000277,0.000241,   1.390,  153,     0.7
    44.4,0.000563,0.000569, 20,0.000284,0.000274,   1.393,  155,     0.7
    44.6,0.000566,0.000573, 20,0.000280,0.000274,   1.389,  153,     0.7
    44.8,0.000573,0.000570, 20,0.000286,0.000253,   1.390,  151,     0.7
    45.0,0.000566,0.000567, 20,0.000282,0.000274,   1.394,  151,     0.8
    45.2,0.000563,0.000568, 20,0.000276,0.000274,   1.390,  150,     0.8
    45.4,0.000560,0.000565, 20,0.000270,0.000241,   1.388,  150,     0.8
    45.6,0.000549,0.000566, 20,0.000269,0.000251,   1.387,  150,     0.8
    45.8,0.000549,0.000569, 20,0.000269,0.000251,   1.386,  152,     0.8
    46.0,0.000549,0.000569, 20,0.000269,0.000241,   1.385,  154,     0.8
    46.2,0.000542,0.000572, 20,0.000281,0.000274,   1.388,  152,     0.8
    46.4,0.000542,0.000572, 20,0.000275,0.000285,   1.385,  150,     0.8
    46.6,0.000546,0.000572, 20,0.000269,0.000253,   1.385,  150,     0.8
    46.8,0.000546,0.000572, 20,0.000278,0.000285,   1.389,  149,     0.8
    47.0,0.000546,0.000567, 20,0.000267,0.000297,   1.387,  149,     0.8
    47.2,0.000546,0.000567, 20,0.000271,0.000253,   1.388,  148,     0.8
    47.4,0.000543,0.000569, 20,0.000265,0.000285,   1.384,  150,     0.8
    47.6,0.000543,0.000567, 20,0.000255,0.000285,   1.386,  153,     0.8
    47.8,0.000543,0.000570, 20,0.000251,0.000241,   1.386,  151,     0.8
    48.0,0.000550,0.000570, 20,0.000252,0.000251,   1.385,  149,     0.8
    48.2,0.000553,0.000573, 20,0.000254,0.000240,   1.381,  151,     0.8
    48.4,0.000557,0.000570, 20,0.000253,0.000240,   1.380,  153,     0.8
    48.6,0.000567,0.000570, 20,0.000256,0.000261,   1.383,  152,     0.8
    48.8,0.000570,0.000573, 20,0.000261,0.000261,   1.383,  151,     0.8
    49.0,0.000557,0.000570, 20,0.000268,0.000240,   1.382,  151,     0.8
    49.2,0.000557,0.000572, 20,0.000263,0.000251,   1.386,  151,     0.8
    49.4,0.000557,0.000578, 20,0.000263,0.000251,   1.382,  151,     0.8
    49.6,0.000553,0.000572, 20,0.000268,0.000219,   1.384,  151,     0.8
    49.8,0.000553,0.000569, 20,0.000265,0.000229,   1.384,  150,     0.8
    50.0,0.000553,0.000569, 20,0.000255,0.000229,   1.384,  149,     0.8
    50.2,0.000553,0.000565, 20,0.000265,0.000229,   1.382,  150,     0.8
    50.4,0.000553,0.000562, 20,0.000265,0.000219,   1.378,  150,     0.8
    50.6,0.000553,0.000576, 20,0.000263,0.000263,   1.380,  150,     0.8
    50.8,0.000553,0.000579, 20,0.000261,0.000263,   1.382,  150,     0.8
    51.0,0.000553,0.000573, 20,0.000264,0.000263,   1.385,  153,     0.9
    51.2,0.000553,0.000576, 20,0.000262,0.000263,   1.381,  157,     0.9
    51.4,0.000553,0.000576, 20,0.000246,0.000263,   1.379,  155,     0.9
    51.6,0.000550,0.000568, 20,0.000262,0.000230,   1.380,  153,     0.9
    51.8,0.000550,0.000571, 20,0.000268,0.000263,   1.380,  151,     0.9
    52.0,0.000550,0.000569, 20,0.000264,0.000263,   1.376,  150,     0.9
    52.2,0.000543,0.000569, 20,0.000265,0.000219,   1.378,  150,     0.9
    52.4,0.000539,0.000566, 20,0.000267,0.000240,   1.377,  150,     0.9
    52.6,0.000542,0.000563, 20,0.000257,0.000229,   1.378,  150,     0.9
    52.8,0.000538,0.000563, 20,0.000251,0.000196,   1.379,  151,     0.9
    53.0,0.000538,0.000558, 20,0.000255,0.000229,   1.380,  151,     0.9
    53.2,0.000546,0.000563, 20,0.000255,0.000217,   1.380,  151,     0.9
    53.4,0.000553,0.000566, 20,0.000251,0.000217,   1.377,  150,     0.9
    53.6,0.000546,0.000557, 20,0.000247,0.000261,   1.376,  149,     0.9
    53.8,0.000553,0.000560, 20,0.000243,0.000273,   1.374,  151,     0.9
    54.0,0.000550,0.000562, 20,0.000249,0.000240,   1.377,  154,     0.9
    54.2,0.000550,0.000557, 20,0.000257,0.000240,   1.379,  151,     0.9
    54.4,0.000544,0.000562, 20,0.000253,0.000251,   1.374,  149,     0.9
    54.6,0.000545,0.000565, 20,0.000255,0.000219,   1.372,  151,     0.9
    54.8,0.000541,0.000560, 20,0.000242,0.000240,   1.378,  153,     0.9
    55.0,0.000538,0.000569, 20,0.000226,0.000240,   1.376,  153,     0.9
    55.2,0.000545,0.000569, 20,0.000230,0.000207,   1.370,  154,     0.9
    55.4,0.000538,0.000566, 20,0.000237,0.000240,   1.374,  153,     0.9
    55.6,0.000538,0.000567, 20,0.000221,0.000229,   1.372,  152,     0.9
    55.8,0.000542,0.000567, 20,0.000220,0.000217,   1.371,  151,     0.9
    56.0,0.000535,0.000567, 20,0.000230,0.000271,   1.376,  149,     0.9
    56.2,0.000538,0.000564, 20,0.000234,0.000271,   1.372,  149,     0.9
    56.4,0.000542,0.000564, 20,0.000225,0.000227,   1.374,  150,     0.9
    56.6,0.000535,0.000558, 20,0.000221,0.000271,   1.376,  151,     0.9
    56.8,0.000535,0.000558, 20,0.000226,0.000294,   1.374,  152,     0.9
    57.0,0.000539,0.000556, 20,0.000220,0.000261,   1.371,  152,     0.9
    57.2,0.000531,0.000550, 20,0.000215,0.000273,   1.368,  151,     1.0
    57.4,0.000531,0.000556, 20,0.000215,0.000284,   1.370,  150,     1.0
    57.6,0.000536,0.000559, 20,0.000210,0.000263,   1.369,  149,     1.0
    57.8,0.000528,0.000554, 20,0.000226,0.000263,   1.373,  148,     1.0
    58.0,0.000528,0.000557, 20,0.000213,0.000251,   1.369,  148,     1.0
    58.2,0.000533,0.000560, 20,0.000221,0.000240,   1.370,  150,     1.0
    58.4,0.000525,0.000564, 20,0.000211,0.000261,   1.367,  152,     1.0
    58.6,0.000536,0.000559, 20,0.000200,0.000261,   1.367,  150,     1.0
    58.8,0.000543,0.000551, 20,0.000204,0.000261,   1.369,  148,     1.0
    59.0,0.000536,0.000557, 20,0.000211,0.000229,   1.369,  150,     1.0
    59.2,0.000539,0.000554, 20,0.000219,0.000240,   1.368,  151,     1.0
    59.4,0.000536,0.000551, 20,0.000219,0.000240,   1.367,  151,     1.0
    59.6,0.000528,0.000556, 20,0.000223,0.000219,   1.367,  151,     1.0
    59.8,0.000535,0.000553, 20,0.000213,0.000219,   1.367,  152,     1.0
    60.0,0.000542,0.000550, 20,0.000201,0.000186,   1.367,  152,     1.0
    60.2,0.000538,0.000555, 20,0.000205,0.000230,   1.368,  151,     1.0
    60.4,0.000538,0.000553, 20,0.000201,0.000230,   1.365,  150,     1.0
    60.6,0.000538,0.000555, 20,0.000192,0.000197,   1.363,  149,     1.0
    60.8,0.000538,0.000555, 20,0.000196,0.000230,   1.367,  148,     1.0
    61.0,0.000538,0.000554, 20,0.000193,0.000230,   1.364,  149,     1.0
    61.2,0.000535,0.000554, 20,0.000182,0.000197,   1.364,  150,     1.0
    61.4,0.000530,0.000553, 20,0.000182,0.000230,   1.365,  151,     1.0
    61.6,0.000530,0.000559, 20,0.000186,0.000230,   1.366,  151,     1.0
    61.8,0.000530,0.000556, 20,0.000185,0.000197,   1.368,  154,     1.0
    62.0,0.000526,0.000559, 20,0.000183,0.000219,   1.363,  156,     1.0
    62.2,0.000523,0.000556, 20,0.000191,0.000207,   1.367,  154,     1.0
    62.4,0.000530,0.000556, 20,0.000191,0.000175,   1.365,  153,     1.0
    62.6,0.000538,0.000559, 20,0.000185,0.000219,   1.362,  151,     1.0
    62.8,0.000533,0.000551, 20,0.000191,0.000230,   1.365,  150,     1.0
    63.0,0.000541,0.000551, 20,0.000191,0.000197,   1.361,  150,     1.0
    63.2,0.000538,0.000553, 20,0.000186,0.000230,   1.361,  150,     1.1
    63.4,0.000541,0.000547, 20,0.000191,0.000230,   1.362,  151,     1.1
    63.6,0.000541,0.000547, 20,0.000181,0.000197,   1.363,  151,     1.1
    63.8,0.000541,0.000550, 20,0.000186,0.000230,   1.364,  150,     1.1
    64.0,0.000537,0.000550, 20,0.000181,0.000230,   1.364,  149,     1.1
    64.2,0.000540,0.000550, 20,0.000176,0.000197,   1.359,  150,     1.1
    64.4,0.000540,0.000550, 20,0.000185,0.000230,   1.358,  151,     1.1
    64.6,0.000535,0.000553, 20,0.000190,0.000230,   1.363,  152,     1.1
    64.8,0.000532,0.000554, 20,0.000184,0.000197,   1.363,  153,     1.1
    65.0,0.000537,0.000556, 20,0.000188,0.000230,   1.365,  151,     1.1
    65.2,0.000540,0.000551, 20,0.000192,0.000230,   1.362,  149,     1.1
    65.4,0.000540,0.000548, 20,0.000192,0.000219,   1.358,  151,     1.1
    65.6,0.000543,0.000551, 20,0.000188,0.000229,   1.362,  152,     1.1
    65.8,0.000546,0.000545, 20,0.000185,0.000227,   1.358,  152,     1.1
    66.0,0.000542,0.000542, 20,0.000178,0.000227,   1.356,  152,     1.1
    66.2,0.000542,0.000547, 20,0.000187,0.000206,   1.356,  152,     1.1
